Rank,Track,Album Name,Artist,Release Date,Release Year,ISRC,Release Country,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Lyrics
282,Sure Thing,All I Want Is You,Miguel,25.05.2010,2010,USJI10800160,US,2362,"29,3",1335928309,190857,100835580,81.0,165856240.0,1428581.0,235546.0,71440021.0,595426317.0,69346849.0,154.0,471442.0,12.0,84.0,7801382.0,54.0,743204828.0,586356.0,,8783890.0,0,muse fuse eah even blunt boom thing sure one love blackboard talk paper wire record fighter quote cash let ten yeah smoker note saint pen baby i'll checked simple raise pretty rubber pie pretend shine little 'cause comes lyric put real sweat babe gotta mine got i'd arms fallin' hold reporter could writer lover like ooh bet respect lighter faith painter die prize oh brother sky walk cigarette friend plain news match joker sinner chalk sun deserve hand treat uh winner band fire say we're never rock
283,Hotline Bling,Hotline Bling,Drake,31.07.2015,2015,USCM51500238,US,1588,"36,7",1335494972,205003,49738762,72.0,165545575.0,1446742.0,1792131.0,38122550.0,284269402.0,6143.0,376.0,94699.0,123.0,110.0,968651.0,55.0,413500693.0,573437.0,,11339270.0,0,late call used mean cell places thing one love wrong feel since goin' girl good yeah right stay knows left less hotline bendin' runnin' wearin' floor wonder 'cause touchin' dance bling days home i've nobody exactly city seen always got else stressed get know need things backwoods belong phone rollin' night like everybody taught champagne zone started reputation backwards glasses gettin' someone ever road hangin' make along alone girls asked pages never nasty passport
284,1 800 273 8255,1 800 273 8255,Logic,28.04.2017,2017,USUM71702778,US,1427,39,1332154389,155866,27988875,67.0,731296296.0,9138105.0,472428.0,26348380.0,176473936.0,150565249.0,114.0,286.0,8.0,32.0,229786.0,21.0,331251079.0,299963.0,,6612245.0,1,call 'til low moving alive even without ain't deep seeing drowning road's somebody feel callin' everything holding air tryna matter feels goin' want let breath right precious show give wanna day taking tell believe stare place long snow little thank shed today hurt every live see home one's i've pain nobody talkin' travel cry relate gotta mine got reason mind anymore what's save legs know things shit phone lightness god praying night lover like melt light first die oh woo time reflection 'bout think hurting darkest chest can't heroic hard head's care life knowing lane say alone though tears never finally underwater
285,no tears left to cry,No Tears Left To Cry,Ariana Grande,20.04.2018,2018,USUM71805289,US,923,"50,2",1331371819,100503,36840744,71.0,1426855223.0,11706422.0,698131.0,30791124.0,219920452.0,1865455236.0,143.0,180151.0,280.0,68.0,735006.0,67.0,181267091.0,95346.0,,6415036.0,0,point stop tries even ain't come livin' matter want yeah right mentality colors wanna left way state pickin' vibin' mm comin' fly boy see cry babe another got shut 'em mind partake know hate like ooh ayy rainin' oh body ran lovin' time turnin' can't mouth tears hm
286,Rather Be,I Cry When I Laugh,Clean Bandit,01.01.2013,2013,GBAHS1300498,GB,2236,"30,3",1327093253,188363,58299660,70.0,875568512.0,5009883.0,1072310.0,146302323.0,1196196511.0,528574920.0,250.0,121439.0,214.0,162.0,968778.0,78.0,62386418.0,110843.0,2123648.0,25620314.0,0,take comfort everlasting there's inner step miles heart batteries nothing's mission gave yeah thousand scene beat peace i'll simplicity place would sea casually long name easy rather bay travelled continues every sacred find strollin' shot exalted another kyoto incomplete i'd chance ah forever staked know different ooh wait dark shame land oh switch can't together make we're
287,WAP,WAP (feat. Megan Thee Stallion),Cardi B,07.08.2020,2020,USAT22005111,US,152,"123,4",1325725696,171255,53040559,72.0,1329826741.0,15965491.0,8470921.0,1183499351.0,9539547626.0,181452145.0,222.0,91249.0,306.0,94.0,249116.0,50.0,184950173.0,397731.0,,4618794.0,1,whose leashes take head feeder cops bring hope lost click whores somethin' beatin' mop ain't deep there's hol' thing spit food demeanor one come talk feel everything money certified nigga drinker eyes tryna clean goin' want let macaroni coat rain he's gag yeah taste smoker scene right beat pullout i'ma wap choke give card garter dive said wanna ring scream i'll lil' tell believe week hitter dry snake pot dangly nose paid public runnin' stroker hook jump feelings freak bust drop king fuck name inside throat gulp quick large comin' fuckin' touch little credit handcuffs a1 well swing bang already punani game hurt park back lean wear see days chain weed hang top put swallow fight big pain talkin' bitch sign tuition really ate let's gotta car got hop weak stand face dasani soggy surprise garage ah mind get truck ass mwah need huh shit wet bought 'fore phone could tie roleplay mack ask like beard spell came diabetic disguise mic pow ayy made swipe lookin' bucket meet boots pictures bite kiss wig woo henny look switch drip house 'bout kegel ride cook dick catch charge lip knees can't never headed hard honor cheatin' ever thang cream fire pussy that's ya extra mouth eat side gobble behind make bottom seven cobra run
288,Happier,ÃÂÃÂ±ÃÂÃÂ± (Deluxe),Ed Sheeran,03.03.2017,2017,GBAHS1700028,GB,2287,"29,9",1322385342,109373,54954226,70.0,696425510.0,4649149.0,1289662.0,34964865.0,223959183.0,137582931.0,37.0,36265.0,6.0,29.0,310.0,27.0,170123227.0,113215.0,,,0,take others told somethin' apart truth ain't there's one love 29th knew sat hide heart feel breaks laugh personal fall try we've guess happier smiles new yeah lovers walkin' said baby day i'll tellin' smile saw inside promise 'cause hurt park month corner nobody arm bar still hey twice nursin' movin' bottle another's know need could wide like waitin' oh walk friends everything's darlin' look reminding empty room deserve someone make
289,Happier Than Ever,Happier Than Ever,Billie Eilish,30.07.2021,2021,USUM72105936,US,372,"79,9",1321878145,189487,51228803,78.0,530778926.0,8470860.0,570442.0,358879639.0,2295813182.0,1152917073.0,199.0,82181.0,275.0,51.0,547449.0,50.0,9900535.0,29358.0,15220155.0,4647622.0,1,call told drunk even explain talk knew moments feel everything try clearly opposite happier breath write yeah good listen shitty give said goddamn wanna drivin' showed day benz way ruined tell aware anyone paid tellin' better fuck mm scared interviews fuckin' 'cause death afraid every home something bad leave city clever relate letter really always mother i'd 'em shut ah mind sad misrable know hate wastin' shit cool could passin' influence wern't fair two shit's true made time read waste friends away think empty wish internet line treat kid embarrassing misunderstood end ever anything say make skip avenue alone asked never
290,Lemonade,Lemonade,Internet Money,14.08.2020,2020,QZJ842000368,QZ,523,"67,3",1320495311,280937,43396860,12.0,446997037.0,4911417.0,1028504.0,178619501.0,1355578291.0,232205977.0,191.0,1353.0,147.0,67.0,1457645.0,3.0,100566058.0,32236.0,,4854882.0,1,head 'til nah stick leash it'll gifted guitars ain't risky one roof love livin' xanax lips nausey knew turn feel laugh checks everything money gon' fifty percocet nigga rodeo ice new let kickin' yeah burned woah missin' filled coupe give suicide day left door way i'll addy done rat believe miss pjs paid grain drippin' brand near sealed countin' old hatin' bag earlobe college backstabbers name pj fortune high stuck fiji 'cause thank grave bling game every back adderall fame bridges water feet put karats big boys detained bitch talkin' sucker government woke codeine rafs fifteen mother gotta still got sixties hop grew hey change disgusting penthouse vvs bitches get dawg police hate shit juice neck rockstar god trippin' everybody bars two light ayy nothing land plane oh brother walk sippin' ways remember copped fentanyl play promethazine xanny stress wock' us empty wish nice can't gettin' never around blessed go ever much fire that's life war say make girls loyal comfortably pillow lemonade
291,PILLOWTALK,Mind Of Mine (Deluxe Edition),ZAYN,25.03.2016,2016,USRC11600042,US,1883,"33,5",1320205697,124827,38410821,71.0,1389678876.0,10725384.0,184911.0,26228617.0,191249307.0,205101912.0,155.0,43881.0,64.0,67.0,38133.0,26.0,,,,7226364.0,1,pleasure wake reckless seeing love talk free bed feels lose enemy tempo yeah pure thin prisoners day dirty place next board fuckin' raw high slow we'll fightin' piss pain nobody fears neighbours always close mellow bodies hold tonight paradise light behaviour dark zone us line hard ally go together war tears we're pillow climb 'body
292,Stereo Hearts,Megahits 2012   Die Erste,Gym Class Heroes,01.01.2011,2011,USAT21101071,US,2916,"25,8",1318596835,240081,51289471,74.0,1141964928.0,11343690.0,409892.0,126261133.0,1056131649.0,1178523905.0,43.0,67874.0,42.0,26.0,104829.0,7.0,,,,14060987.0,0,take head cops used low stop told hear ancient apologize skipping yeeheh gym hit grab couple love come understand higher record turn feel batteries appreciate travie holding fifty tune keep girl pound yikky meant melody yeah good listen right note ha class peace sing manage baby radio left i'll music heroes handle would played old heart's bit inside boombox stuck little 'cause boy dusty shoulder every back stereo closer find leave blow grudges thoughts another i'd last let's close mine else purchase favorite mad mind scratch get plays hold ear interstate know front crank pray huh shelf could check volume ask like everybody ooh cracks oh walk time remember friends play beats tracks think artifacts wherever hand school furthermore changing uh softly hard go ohote dead mixtape thought behind along make found asked never finally
294,Heartless,808s & Heartbreak (Exclusive Edition),Kanye West,01.01.2008,2008,USUM70840511,US,2738,"26,9",1315577954,26177,60550990,79.0,366241783.0,2719377.0,164714.0,32605436.0,250337316.0,105077315.0,96.0,18653.0,67.0,26.0,207876.0,10.0,587055437.0,418628.0,54924850.0,3795507.0,0,take stop told lost hear mean hot somethin' ain't 3 somewhere speak thing couple wrong dr talk fo' gon' coldest bringin' soul new keep decided heartless enemies right show wanna baby wind way breeze tell story believe winter old better hatin' months leavin' groove mess well already back see find leave nobody homies talkin' yo Ã¢ÂÂcause let's still got woman homie 'em mad get know need things cold phone could tonight ayo night like wait oh evil walk friend lonely friends remember 'bout far can't around go end ever road knock that's side watch make though along say never run
295,Dark Red,Dark Red,Steve Lacy,20.02.2017,2017,GBKPL1778015,GB,2475,"28,6",1315024190,26185,48425069,80.0,152580618.0,1969610.0,114388.0,94977654.0,558037837.0,,101.0,3506.0,188.0,17.0,87964.0,,9194032.0,2725.0,,3864898.0,0,leave give hope wanna coming babe darling maybe thoughts way please 'bout think nose far wrong running linger mind drives feel long that's sad she's know much want that's might girl happen let fine belong crazy it's bad something
296,Grenade,Massive R&B Spring 2011,Bruno Mars,01.01.2010,2010,USAT21001883,US,318,"24,4",1313545266,193103,65382148,73.0,1310515665.0,6898904.0,40595.0,21561355.0,147790820.0,1599316290.0,60.0,226445.0,257.0,44.0,237782.0,45.0,,,,7702096.0,0,take 'til open love come bullet yes burn understand devil eyes gave liar yeah trouble beat give said baby tell flames jump would smile easy numb 'cause tossed train back live bad pain grenade known brain black still car hey i'd woman face rip mad get straight know front wide ooh first die oh body kiss blue darlin' catch hand throw uh brakes go ever blade anything that's ya fire watch asked never trash loved
297,Stay,Unapologetic (Edited Version),Rihanna,01.01.2012,2012,USUM71214754,US,1607,"36,6",1313274600,14097,62521370,69.0,1350480491.0,6778043.0,,79123.0,72148.0,1295585023.0,149.0,13812.0,,61.0,1002488.0,49.0,932950848.0,813511.0,,,0,take saving dare hands hot without makes sure one come feel caving funny air move 'round want hole stay show needed said way tell little 'cause well see live closer something sweat really fever believer reason threw hold know need living cold like takes ooh light oh broken gone us can't headed hard around go much life along never given
298,Leave The Door Open,Leave The Door Open,Bruno Mars,05.03.2021,2021,USAT22100906,US,161,"120,1",1312168384,248793,50068571,75.0,993324548.0,9537455.0,1503567.0,369280607.0,3350704343.0,2421128623.0,308.0,557867.0,309.0,120.0,1553392.0,103.0,149304590.0,91366.0,,10288388.0,0,ain't wine there's open love come makin' heart doin' feel tryna clean want keep robe girl tight east warm good la bathtub haze sweet i'ma give coming games smoke purple baby i'll door way tell bubblin' filets hungry romancin' jump pool comin' cuddlin' playin' every see mansion leave shamone rose talkin' newborn sip let's gotta shaved got hey arms word shut ah what's adore straight know need hopin' could happenin' tonight petals like ooh waitin' smooth oh bite sippin' woo look drip house lay plans uh unless kissin' much trap say alone dancin' west wing
299,Galway Girl,ÃÂÃÂ±ÃÂÃÂ± (Deluxe),Ed Sheeran,03.03.2017,2017,GBAHS1700026,GB,1535,"37,5",1311631709,121737,38983968,72.0,869890899.0,5960113.0,3002655.0,45280966.0,353002887.0,104562182.0,64.0,72168.0,72.0,37.0,410364.0,35.0,111086236.0,115857.0,,,0,stood voice shotgun whisky mean walked wine one love outstayed grafton song guitar kissed we've holding swear air dancing repeat girl write street right beat sweet took smell said wanna fiddle gaelic smoke ink baby fill pretty week playing pool played inside little heard stool dance lungs johnny doritos welcome home trad feet jack put finish nobody table irish arm friend's bar jamie sung another jukebox last man shared mine got else hey arthur darts bottle carrickfergus cappella orders called songs outside van know fell cold chatted neck using could galway coats singing night like fun chaser oh brother english cÃÂ©ili cigarette time tunes perfect met riding drink room hand packed gonna band ever closing asked never
300,Yeah,Kings Of Crunk (Special Edition),USHER,01.01.2004,2004,USAR10301423,US,202,"32,1",1307469137,255327,107143110,80.0,1200224642.0,8294174.0,416052.0,131333791.0,1599320816.0,163326719.0,289.0,261191.0,185.0,117.0,1991675.0,102.0,1147904698.0,651959.0,,15485233.0,0,take voice head low 'til used bring stop told luda ready it'll rewind toes truth ain't thing spit one outfit's come knew key certified bed tryna want v prowl keep cow decided girl ten yeah good jon birthday street thousand beat checkin' i'ma took sayin' ow said forgot ds ursh lil peace baby left way jag' fill raow idea where's booty spittin' three supposed floor freak next would patrol suit forget women usher touch little heavy 'cause double dance shawty game hell caught back followed cups leave work put clothes milk alright valued homies real blow seen let's gotta hundred got ludacris hey conversation gimme chance 'em feelin' get cuttin' conspicuous hold ear know front steady town club okay ridiculous lady rolls lead thinkin' like chill lookin' oh twenty best please shorty think pinky's drink screamin' leaves rhythm bend gonna go dead ya might watch make say asked foot flow
301,cardigan,folklore,Taylor Swift,24.07.2020,2020,USUG12002836,US,1458,"38,4",1307283069,94169,67796903,80.0,250157022.0,3792791.0,1470630.0,374412871.0,2941268049.0,280717147.0,131.0,54624.0,11.0,104.0,361732.0,85.0,21437551.0,24674.0,,4686324.0,0,seek stars scars downtown drunk one come drew cars knew hide politics none everything steppin' ending bed new lose tattoo cardigan needed smell said marked expired smoke baby streetlight someone's sequin miss playing porch longest brand standin' curse would old bleedin' better smile assume long leavin' high 'cause train tee losing back hang water father put cobblestones peter felt giving thrill last black lipstick i'd change ifs heels favorite wendy shadows young bloodstain know front phone heartbeat sensual like chase bars two light levi's nothing tried chasin' weekends twenty kiss friend time linger grocery hand sweatshirt line lifetimes haunt around girls dancin' vintage running
302,Robbery,Robbery,Juice WRLD,13.02.2019,2019,USUG11900302,US,1131,"44,7",1306374052,213493,32159591,73.0,606402216.0,5432558.0,287303.0,40611392.0,281781468.0,46631449.0,45.0,113.0,198.0,36.0,92676.0,7.0,63372791.0,172183.0,,1815403.0,1,blur told flex manners hennessy gets thing one love come talk heart throwing person funny answer making keep gave let paranoid i'ma wrist give said drinkin' wanna rocks window ended second curse decide saw bag fuck loved high fast grave boy hurt whole tells every see home leave gucci put nobody strong real woke runaround really oof man last always cannot worse got woman past fur mind ho gun get hearse know need hate shit phone different reverse digging dad first slur true butterflies iceberg time insecure can't around go much gift drugs never running
303,Apocalypse,Apocalypse,Cigarettes After Sex,21.03.2017,2017,USBQU1700034,US,1628,"36,3",1305189811,259761,79958707,82.0,237610293.0,2556677.0,126427.0,67441717.0,435331773.0,5708240.0,64.0,5105.0,53.0,30.0,219837.0,42.0,20133868.0,17745.0,30727101.0,4881850.0,1,locket hiding low cityscapes fist come sharing lips turn crumbling sneak since want gave foreheads kisses secrets lovers leapt wrapped rivers rising apocalypse baby left way tell ocean music feeling goodbye kids bridges helicopters locked filming clutched got arms flood forever pianos know crashing soundly sleeping dust dark oh watching please us reach knees can't haunt hollowed go say alone
304,Feel It Still,Feel It Still,Portugal. The Man,02.03.2017,2017,USAT21700437,US,2263,"30,1",1303452422,20411,65716191,74.0,563059238.0,5008418.0,77757.0,60080391.0,447512595.0,13369387.0,87.0,96294.0,123.0,219.0,2003306.0,81.0,,,,,0,call hands middle abyss love dreams come 1966 bother heart start feel feed since hopes keep let girl enemies yeah field give 1986 coming peace baby left i'll fill rebel feeling goodbye fallen easy little kids kick falls back leave put fight i've case another still might've got 'em kicks need living shelf could mama like ooh flipping dust wait oh gravedigger woo time eclipse think gone leaves can't babysitter mouth might war walls
305,Just Give Me a Reason,The Truth About Love,P!nk,14.09.2012,2012,USRC11200786,US,1627,"36,3",1301573727,145608,86545078,78.0,1898440657.0,8070655.0,138424.0,71901587.0,496883852.0,1895655776.0,135.0,202143.0,203.0,93.0,915842.0,26.0,97435319.0,31308.0,,22486414.0,0,head used stars scars bent there's stole thief sleep love dreams come understand collectin' heart start everything havin' clean fix let yeah right give love's coming i'll sorry pretty tell second victim written learn everythin' touch little pourin' sheets fine willing we'll every see bad ducts talkin' real fixed close still hearts bit's reason mind wild things enough lie happenin' parts nothin' dust seems oh rust broken drink us empty never thought holdin' say tears dear stopped we're running
306,Pink + White,Blonde,Frank Ocean,20.08.2016,2016,QZ5C81600003,QZ,2642,"27,4",1299650856,22895,71708447,83.0,158016588.0,1286636.0,130802.0,68303456.0,442090971.0,455453.0,163.0,6091.0,221.0,46.0,1275701.0,41.0,24819579.0,19292.0,9043608.0,2187716.0,0,take head trying wake alive glory roof love come immortality trees granny feel pink we've ruin air eyes move soon bending keep gave let recalling yeah cigs sweet stay cannonball showed day way nicotine ruined dry control porch stealing pool nikes easy tower fly slow danny lines tall kids every back older something ends michael milk bitch nod downhill matthew close skin black still melpomene shoob gimme flood kneel hold halfway south cold climb cool could white goes like nosedive true dark die birthed summer land oh sky kiss woo time remember tools ground earth crates shade getting sun north's swimming yellow someone hurricane regard that's life might side say make dear we're jackson running
307,Blueberry Faygo,Certified Hitmaker,Lil Mosey,08.11.2019,2019,USUM72001714,US,889,"51,2",1295251940,197036,39104125,67.0,380793694.0,4733751.0,1099556.0,147484414.0,1065757953.0,142871159.0,121.0,133128.0,135.0,40.0,79824.0,15.0,97563481.0,165056.0,,2786545.0,1,take 'til wokhardt somethin' toes ain't boom blueberry one pfft kk nigga move since hoes want four cash yeah rockstars fucked i'ma poured day went lil' yesterday three safe thumbin' bag fuck trapstar quick fuckin' 'cause damn back lean team bad gucci big bitch real city draco pull got poles faygo gas ass straight know clip huh shit niggas fucking millions nina rollin' ask chase valentino two ayy oh false callan small dick shootin' glock uh winner hard go end that's say bands 40's
308,Light It Up,Peace Is The Mission,Major Lazer,29.05.2015,2015,QMUY41500182,QM,1907,"33,2",1293191157,147868,30229579,72.0,606547382.0,4505365.0,5601.0,1739806.0,19401692.0,207022466.0,209.0,54267.0,448.0,71.0,492309.0,15.0,115098360.0,25201.0,70181589.0,10975728.0,0,take like show light di seh hoping hot wicked mash raging baby mek candle soldier step dreams wick stand chasing gimme set inna free bridge heart gun dem retreating never hold chat go feeble know nuh cave hotter fire ya dance ablaze holster make let pree crazy war yeah fi tonight rock live ting built
309,Paradise,Mylo Xyloto,Coldplay,19.10.2011,2011,GBAYE1101143,GB,2873,26,1291954163,205567,85747045,77.0,325509002.0,2163945.0,755099.0,119567231.0,1016743063.0,1022465.0,109.0,44631.0,109.0,94.0,850177.0,32.0,486445533.0,445013.0,,8726725.0,0,night paradise ooh skies lying said dream flew oh wheel gets ran time close closed away para dreamed sleep underneath goes set must bullets catch waterfall rise expected reach breaks sun butterfly eyes know heavy life tear fly girl could she'd world every la teeth stormy
310,SLOW DANCING IN THE DARK,SLOW DANCING IN THE DARK,Joji,12.09.2018,2018,ZZOPM1800452,ZZ,1167,"43,9",1291244134,241882,48328259,29.0,576756813.0,6989481.0,976742.0,252216973.0,1853292133.0,140688974.0,39.0,1059.0,116.0,6.0,1415.0,3.0,18782933.0,75869.0,3484302.0,1785813.0,1,voice used hear reasons waiting one fall dancing follow want yeah give wanna done fuck tone well dance slow great see home signs gotta shutting else arms looked mind get hold need compete night like two dark made oh friend please can't around someone go complete end life run fighted
311,Safe And Sound,Capital Cities EP,Capital Cities,01.01.2012,2012,USCA21203108,US,2317,"29,7",1286089822,256512,74267670,78.0,291434533.0,3222924.0,226012.0,94442871.0,774957680.0,322090946.0,118.0,16029.0,427.0,81.0,172564.0,42.0,362990771.0,400888.0,,21359402.0,0,feet take luck show falling evaporate frowns wanna sound underground even sky fill still river love tidal ground wave safe next appreciate mystery hold hurricane know lift could we'll world we're six see standing cup
312,MIDDLE CHILD,MIDDLE CHILD,J. Cole,24.01.2019,2019,QMJMT1902056,QM,836,"53,1",1285518117,221749,47461150,74.0,606135388.0,5429579.0,24013.0,9483657.0,72297780.0,42301836.0,119.0,73534.0,92.0,33.0,200166.0,35.0,377326561.0,17835.0,,3638588.0,1,take voice fakin' fake hope balance clips somethin' act middle cell dollar ain't foot gettin' hit blunt mamas sure love poisoned bloodline rich makin' distorted set bullets rapper talk babies feel cadence self everything money style gon' honest nigga rollie mission writin' wantin' lord gave fiends lettin' thankin' generations good scrape trip greats right checkin' ones i'ma wrist give promo class pistol poured year smoke coming erase left dyin' prevail lil' image dirty 'em slap minus intentions list mirrored countin' next names watchin' bag fuck ogs long sisters trauma promise inside squad i'm stuck little sit 'cause prayin' well ain't death kodak loadin' game every back fame reminded poppin' put choice pavin' i've big pain sellin' raised real cycle mil' fail sip guidance cannot gotta still got copied chips i'd rap change diss twice bread birthdays 'em drizzy jigga get legit straight beef young lunch powder know jail lebron hate shit niggas sneakers neck heal different sell killing like grows bentley came two roll first quit nothin' many spending made clout palm pill meet legends studied broke lab 'bout ground slid hurting brothers dick wish loadin' hand can't gettin' 'ville noise hard go dead savage destined projects glad that's 21 gift coexist liable might lit lane watch make snort bro never greatest latest cup
313,Poker Face,The Fame,Lady Gaga,01.01.2008,2008,USUM70824409,US,3302,"23,9",1285242562,216338,88471248,77.0,256379013.0,2156909.0,265724.0,129356785.0,1231170484.0,316.0,172.0,287903.0,268.0,98.0,1410983.0,65.0,283521080.0,769916.0,,8551662.0,0,take hot without hit roulette one love heart poker start texas rough let gunnin' he's woah stay show wanna hug muffin baby i'll raise tell marvelous stunnin' gamblin' fuck chick promise bluffin' glue intuition little 'cause lyin' lovegame i've nobody p spades got casino mah face cards 'em gun get hold pair mum check pay like fold hooked roll bank fun russian oh kiss woo please read play hand can't hard f that's
314,Unstoppable,Unstoppable,Sia,21.01.2016,2016,USRC11502934,US,548,"65,5",1285237951,166761,75244498,76.0,1383536938.0,11277243.0,7657876.0,920079246.0,14808888629.0,2811155497.0,124.0,654509.0,549.0,86.0,1468966.0,52.0,92645908.0,8688.0,,15422384.0,0,hiding 'til hear breakdown deep porsche win grow batteries friendships keep tear let unstoppable yeah right show loud wanna armor i'll way tell feelings smile heard shed today afraid game invincible every see put i've strong cry fool confident powerful sunglasses what's single know need town goes night takes oh time play sun brakes make alone never
315,When We Were Young,25,Adele,20.11.2015,2015,GBBKS1500217,GB,2305,"29,8",1284096603,117365,41710598,71.0,1021758621.0,6306795.0,51713.0,51633844.0,348333229.0,12378383.0,133.0,6508.0,7.0,36.0,1394780.0,22.0,281756710.0,77682.0,,5077728.0,0,used dream told moved reckless makes come talk song feel keeps everything holding swear move guess admit let said left way old long scared 'cause back overseas home i've restless nobody hoping exactly fears sound case last still face chance mad sad young know things photograph god night like takes reminds everybody light true loves made oh watching time look gone us movie getting hard someone go realised care that's part might alone moment
316,Time of Our Lives,Time of Our Lives,Pitbull,17.11.2014,2014,USRC11402647,US,3739,"22,1",1283683926,203125,103528914,79.0,351633773.0,2243784.0,382535.0,88186338.0,590688494.0,150511593.0,140.0,81.0,182.0,55.0,140012.0,7.0,,,,8020959.0,1,luck late told ready rebound hot worked cut biggest thing love party nut yes talk knew turn fo' mami gon' ex going goin' want lose let girl liar good yeah church dale burned i'ma took give ballin' said wanna pour spot baby day mr lust done tell dirty believe week bartender booty better drop forget mariah 'cause ahead well dance times every back see great something month top shot talkin' yo another man last let's always shots still mine got ne hey rent mind worldwide get ass know front freaky squirrel dollars club enough tonight night like pay ooh everybody roll first ayy rodman fun lookin' oh twenty broke woo time remember look 'bout ground drill ride loose drink ago shake can't line throw blessed go tough sho fire deck life might bills though
317,Don't,Don't,Bryson Tiller,20.05.2015,2015,USRC11501052,US,4058,"21,1",1281704427,1277,342709,37.0,506308579.0,3063149.0,,,,52266003.0,47.0,29081.0,,,,3.0,644840340.0,265115.0,,,0,givin' 'til ain't lately thing step spit love party somebody song whatever keeps everything money guy propane nigga thigh certain guess want keep let girl good yeah listen missin' fucked switchin' saint show give said wanna pen pour h suicide games special baby left way grippin' tell logic damned effort vibe would next old better drop fuck steerin' 'nother easy killin' high 'cause playin' shawty game understandin' whole world paint back see bad top sip fed pull level man gotta still mine got drank reason throwed feelin' get young know town cold trippin' thinkin' fold space frank light ayy shame lookin' oh spliff lovin' lanes holds play 100 skrr ride must catch deserve hand sick laid penetrate dishonest ever together that's fire pussy say cup
318,"Me, Myself & I","Me, Myself & I",G Eazy,14.10.2015,2015,USRC11502210,US,745,"56,2",1280838046,174312,39798446,73.0,807688972.0,6060762.0,8981813.0,72353082.0,439764052.0,402411855.0,106.0,3613.0,,49.0,200919.0,6.0,610892547.0,348211.0,,10221814.0,1,take l's speakin' plus fake nah told celebrate they're alive liquor even strangers gets ain't closet love dreams ba nightly understand swimmin' heart keepin' keeps money awake funny havin' maxwell tryna lot follow want soul granted keep lord da lifestyle good yeah right beat i'ma saint give knows amazin' drivin' i'll tell tree bubbly music three faces debate hunger heart's cake fuck liver nights everyone 'cause famous hell whole world every back see great home ends laurent work i've talkin' become rush Ã¢ÂÂcause random except always still changes got muddy solo ferrari ah get foldin' hold know need break pray shit may cold cool trends beside angers modesty anxious night m's like space ooh satisfied privacy wait die made sippin' broke dangerous time stella lonely friends cope far ride lucky apeshit rages hand sick loan laid y'all go anything fire that's life regardless say make though found buyin' alone cuddy lovely
319,Nice For What,Nice For What,Drake,06.04.2018,2018,USCM51800077,US,1544,"37,4",1276685592,192868,46195383,72.0,516887687.0,3647970.0,26591.0,12343640.0,107294147.0,70883061.0,187.0,115.0,335.0,37.0,120342.0,51.0,213646566.0,80659.0,,6416734.0,1,call low mothafuckin' breakdown cut even without tense ain't hit thing one explain talk song understand doin' everything mention 'round bringin' hoes follow want keep let girl lettin' yeah beat note give said snappin' wanna year lil baby benz paid fabo jump peepin' long inside high blaqnmild 8 times already slow boy back lift live days see bad month work cable alright i've finish table saturday real cry really man last let's gotta offline car got gassed past weezyana 'em mad get ass bill hold outside know huh murda shit niggas club phone workin' tonight goes pipin' lover pics like everybody roll first dark die made overtime oh showin' genius reflection shorty friends diggin' lay loose stressin' nice representin' hunnid school short bend uh hard y'all go angles g care that's life watch make girls bands five
320,Story of My Life,Story of My Life,One Direction,28.10.2013,2013,GBHMU1300210,GB,3607,"22,6",1275036167,143693,85520811,79.0,264658339.0,3696633.0,330028.0,105141667.0,862277477.0,62831.0,101.0,86998.0,111.0,44.0,322268.0,24.0,303993932.0,275062.0,,9015652.0,0,take 'til hope told although mornin' waiting open explain stays love come heart feel holding keep spend warm tight right burning give colors untamed baby stone i'll beneath way walls story written inside stories see days home leave words feet i've still bright change bones cage know tonight frozen wide night like light hill seems die nothing oh drive chasin' broke time ground broken gone us empty can't clouds around fire life running
321,Ophelia,Ophelia,The Lumineers,05.02.2016,2016,USDMG1673802,US,235,"29,4",1274848626,213943,47156566,70.0,267224710.0,2081752.0,49941.0,30833392.0,234589315.0,5412813.0,86.0,56784.0,195.0,34.0,41816.0,39.0,347987957.0,153704.0,,3480225.0,0,top like big drug nothing known paycheck oh fool help gotta heaven got wrote love past small flood remorse honey younger better plans ah mind feel can't whoo move girlfriend since little feels that's new blindness girl ophelia he's back falls see
322,Ho Hey,The Lumineers,The Lumineers,01.01.2012,2012,USDMG1260805,US,1818,"34,1",1273869800,214511,64606098,76.0,370952126.0,2847630.0,28712.0,25451026.0,172101115.0,213556549.0,148.0,242121.0,353.0,98.0,60117.0,53.0,815332673.0,52071.0,13370304.0,17971225.0,0,china hope sweetheart bleed one love come wrong livin' song bed bowery write right sweet took show went blood three standin' would next bleedin' instead canal 'cause i've bus last let's hey i'd ho know need town belong she'd family two oh woo lonely look think tryin' life might we're sleepin'
